id,species,height,dbh,lat,lng,condition
88,fraxinus excelsior,9,5.08,52.3606,4.897821,fair
89,acer pseudoplatanus,9,7.62,52.360611,4.897611,good
90,quercus robur,15,10.16,52.359069,4.889391,fair
91,quercus robur,18,12.7,52.359033,4.889455,good
92,betula pendula,9,5.08,52.360534,4.897855,excellent
93,acer platanoides,15,10.16,52.360256,4.896744,fair
94,quercus robur,18,12.7,52.358887,4.889775,good
95,ulmus minor,18,12.7,52.359154,4.8898,excellent
96,acer platanoides,15,10.16,52.358665,4.890475,fair
97,ulmus minor,15,10.16,52.358599,4.890378,good
98,crataegus monogyna,9,7.62,52.360435,4.896682,excellent
99,acer pseudoplatanus,15,10.16,52.360399,4.897487,fair
100,acer platanoides,9,7.62,52.360295,4.89694,good
101,ulmus minor,15,10.16,52.36033,4.897131,excellent
102,ulmus minor,15,10.16,52.360368,4.897321,fair
103,crataegus monogyna,15,10.16,52.35921,4.889908,fair
104,ulmus minor,18,12.7,52.359172,4.889886,good
105,fagus sylvatica,15,10.16,52.359202,4.889789,excellent
106,ulmus minor,9,7.62,52.360724,4.899195,good
107,acer pseudoplatanus,9,7.62,52.359103,4.889855,excellent
108,fagus sylvatica,9,7.62,52.360468,4.897837,fair
109,ulmus minor,9,5.08,52.360467,4.896849,good
110,fagus sylvatica,9,5.08,52.360503,4.897044,excellent
111,acer platanoides,9,5.08,52.360536,4.897211,fair
112,acer pseudoplatanus,9,7.62,52.360578,4.897425,good
113,acer platanoides,9,7.62,52.360436,4.897674,excellent
114,fagus sylvatica,9,7.62,52.360806,4.898883,excellent
115,acer pseudoplatanus,15,10.16,52.360744,4.899769,fair
116,fraxinus excelsior,18,12.7,52.360805,4.899643,good
117,acer pseudoplatanus,18,12.7,52.360396,4.899058,excellent
118,acer pseudoplatanus,9,5.08,52.360577,4.899204,excellent
119,ulmus minor,9,7.62,52.358968,4.891487,excellent
120,ulmus minor,6,2.54,52.360449,4.898323,good
121,ulmus minor,9,5.08,52.360041,4.898416,fair
122,ulmus minor,9,5.08,52.360454,4.898355,good
123,acer pseudoplatanus,9,5.08,52.360425,4.89835,excellent
124,quercus robur,9,5.08,52.361131,4.900524,good
125,acer platanoides,9,7.62,52.36071,4.898968,excellent
126,fraxinus excelsior,9,5.08,52.359998,4.89872,fair
127,quercus robur,9,5.08,52.359785,4.899568,good
128,fraxinus excelsior,6,2.54,52.358975,4.892701,fair
129,quercus robur,6,2.54,52.361714,4.900413,excellent
130,alnus glutinosa,6,2.54,52.361718,4.900436,fair
131,fraxinus excelsior,6,2.54,52.361723,4.900464,good
132,alnus glutinosa,6,2.54,52.361734,4.90052,excellent
133,crataegus monogyna,6,2.54,52.359552,4.887433,good
134,acer pseudoplatanus,9,5.08,52.359628,4.887447,excellent
135,tilia cordata,6,2.54,52.359662,4.887392,good
136,ulmus minor,9,5.08,52.359296,4.891294,excellent
137,tilia cordata,9,5.08,52.359171,4.889594,fair
138,ulmus minor,9,5.08,52.358641,4.891533,fair
139,fagus sylvatica,6,2.54,52.360702,4.900718,excellent
140,juniperus communis,9,5.08,52.359713,4.888701,good
141,fagus sylvatica,6,2.54,52.358611,4.890252,good
142,acer pseudoplatanus,6,2.54,52.360038,4.898477,excellent
143,ulmus minor,6,2.54,52.366009,4.896107,fair
144,tilia cordata,6,2.54,52.365979,4.896139,good
145,quercus robur,6,2.54,52.359432,4.889045,fair
146,quercus robur,9,5.08,52.359931,4.888982,excellent
147,fagus sylvatica,6,2.54,52.363128,4.885568,good
148,quercus robur,9,5.08,52.363055,4.885629,excellent
149,quercus robur,6,2.54,52.358906,4.892276,good
150,fagus sylvatica,9,5.08,52.36171,4.900391,excellent
151,ulmus minor,9,5.08,52.35872,4.891317,fair
152,quercus robur,9,7.62,52.363084,4.896126,good
153,betula pendula,9,5.08,52.363575,4.897908,excellent
154,betula pendula,9,7.62,52.362968,4.895866,fair
155,quercus robur,9,7.62,52.365479,4.900334,good
156,betula pendula,15,10.16,52.360274,4.896514,fair
157,tilia cordata,9,5.08,52.360531,4.898786,good
158,alnus glutinosa,9,5.08,52.362126,4.896194,excellent
159,quercus robur,15,10.16,52.360135,4.898479,fair
160,quercus robur,6,2.54,52.360677,4.900568,good
161,acer pseudoplatanus,9,7.62,52.360263,4.898484,excellent
162,betula pendula,9,7.62,52.36035,4.898461,fair
163,crataegus monogyna,9,7.62,52.360381,4.898472,good
164,quercus robur,9,5.08,52.358593,4.889427,good
165,quercus robur,15,10.16,52.359233,4.888304,fair
166,crataegus monogyna,15,10.16,52.359187,4.888361,good
167,quercus robur,18,12.7,52.359192,4.887144,fair
168,acer pseudoplatanus,9,5.08,52.360853,4.885716,excellent
169,betula pendula,15,10.16,52.359174,4.888284,good
170,fagus sylvatica,15,10.16,52.358591,4.889164,excellent
171,ulmus minor,15,10.16,52.365783,4.896,good
172,ulmus minor,6,2.54,52.36186,4.888836,fair
173,fraxinus excelsior,6,2.54,52.361867,4.888777,good
174,betula pendula,6,2.54,52.361872,4.888731,excellent
175,ulmus minor,6,2.54,52.361782,4.888812,fair
176,quercus robur,6,2.54,52.361789,4.88876,good
177,fraxinus excelsior,6,2.54,52.361796,4.888701,excellent
178,quercus robur,6,2.54,52.361803,4.888864,fair
179,betula pendula,6,2.54,52.361831,4.888876,excellent
180,quercus robur,6,2.54,52.361854,4.888686,fair
181,ulmus minor,6,2.54,52.361829,4.888677,good
182,alnus glutinosa,15,10.16,52.365571,4.895712,excellent
183,quercus robur,24,17.78,52.360134,4.898374,good
184,acer platanoides,24,17.78,52.365492,4.895713,excellent
185,quercus robur,24,17.78,52.365398,4.895726,fair
186,acer platanoides,15,10.16,52.365629,4.895886,good
187,quercus robur,24,17.78,52.365549,4.895893,excellent
188,fraxinus excelsior,24,17.78,52.365463,4.895906,fair
189,quercus robur,24,17.78,52.365376,4.895912,good
190,crataegus monogyna,24,17.78,52.36527,4.89593,fair
191,quercus robur,24,17.78,52.365305,4.895734,fair
192,ulmus minor,24,17.78,52.365167,4.895946,good
193,acer pseudoplatanus,15,10.16,52.359861,4.895375,fair
194,fraxinus excelsior,15,10.16,52.35985,4.895551,good
195,fraxinus excelsior,24,17.78,52.35984,4.895737,excellent
196,ulmus minor,18,12.7,52.359833,4.895918,fair
197,quercus robur,24,17.78,52.365203,4.895741,good
198,acer pseudoplatanus,24,17.78,52.365072,4.895955,excellent
199,quercus robur,18,12.7,52.359333,4.898344,good
200,fagus sylvatica,24,17.78,52.36508,4.895745,excellent
201,ulmus minor,15,10.16,52.359222,4.897409,fair
202,alnus glutinosa,15,10.16,52.359226,4.89755,good
203,ulmus minor,18,12.7,52.359259,4.897824,excellent
204,fraxinus excelsior,15,10.16,52.359281,4.897992,fair
205,fraxinus excelsior,15,10.16,52.366193,4.896157,fair
206,acer platanoides,15,10.16,52.366135,4.896233,good
207,ulmus minor,9,7.62,52.366193,4.896316,excellent
208,acer platanoides,15,10.16,52.366137,4.896392,fair
209,quercus robur,15,10.16,52.366193,4.8965,good
210,fagus sylvatica,15,10.16,52.366137,4.896566,excellent
211,quercus robur,15,10.16,52.366193,4.896677,fair
212,alnus glutinosa,15,10.16,52.366137,4.89675,good
213,ulmus minor,15,10.16,52.366193,4.896861,excellent
214,betula pendula,15,10.16,52.366136,4.896938,fair
215,betula pendula,15,10.16,52.366195,4.897052,good
216,fagus sylvatica,18,12.7,52.366124,4.897246,excellent
217,ulmus minor,15,10.16,52.366145,4.895718,fair
218,ulmus minor,9,7.62,52.366192,4.895943,good
219,ulmus minor,15,10.16,52.366136,4.896049,excellent
220,fraxinus excelsior,15,10.16,52.366018,4.895728,fair
221,betula pendula,15,10.16,52.366073,4.897382,good
222,acer platanoides,15,10.16,52.365915,4.895735,good
223,ulmus minor,18,12.7,52.365859,4.89664,excellent
224,fraxinus excelsior,15,10.16,52.36588,4.896788,fair
225,quercus robur,15,10.16,52.365898,4.896948,good
226,ulmus minor,15,10.16,52.36592,4.897099,excellent
227,acer pseudoplatanus,15,10.16,52.365943,4.897264,fair
228,quercus robur,15,10.16,52.365964,4.897434,good
229,quercus robur,18,12.7,52.365667,4.895707,fair
230,tilia cordata,15,10.16,52.365785,4.895749,good
231,tilia cordata,15,10.16,52.365803,4.896206,excellent
232,quercus robur,15,10.16,52.365817,4.896336,fair
233,quercus robur,24,17.78,52.359155,4.889481,good
234,fraxinus excelsior,24,17.78,52.359247,4.889081,excellent
235,tilia cordata,24,17.78,52.359041,4.889639,excellent
236,ulmus minor,24,17.78,52.359002,4.889773,fair
237,acer pseudoplatanus,24,17.78,52.358956,4.889878,good
238,quercus robur,15,10.16,52.360043,4.892513,fair
239,ulmus minor,15,10.16,52.359909,4.89468,good
240,crataegus monogyna,9,7.62,52.359439,4.892304,excellent
241,betula pendula,18,12.7,52.359579,4.890121,fair
242,acer pseudoplatanus,18,12.7,52.35996,4.893898,good
243,quercus robur,15,10.16,52.359476,4.891649,excellent
244,quercus robur,15,10.16,52.359463,4.891876,fair
245,acer pseudoplatanus,18,12.7,52.359573,4.891991,good
246,ulmus minor,18,12.7,52.359559,4.892197,excellent
247,ulmus minor,15,10.16,52.35899,4.889995,fair
248,tilia cordata,18,12.7,52.359974,4.893631,good
249,tilia cordata,15,10.16,52.359985,4.893449,excellent
250,acer pseudoplatanus,18,12.7,52.360093,4.891705,fair
251,acer pseudoplatanus,15,10.16,52.360105,4.891524,good
252,fraxinus excelsior,15,10.16,52.360117,4.891307,excellent
253,ulmus minor,18,12.7,52.359995,4.893264,fair
254,fraxinus excelsior,15,10.16,52.360003,4.89314,good
255,fraxinus excelsior,15,10.16,52.35993,4.894326,excellent
256,ulmus minor,18,12.7,52.358865,4.891305,excellent
257,acer platanoides,15,10.16,52.358721,4.891979,excellent
258,pinus nigra,18,12.7,52.359903,4.888775,good
259,thuja occidentalis,24,17.78,52.359337,4.888952,excellent
260,acer pseudoplatanus,18,12.7,52.362348,4.885628,excellent
261,crataegus monogyna,18,12.7,52.358834,4.891434,good
262,acer pseudoplatanus,24,20.32,52.359398,4.891262,excellent
263,quercus robur,18,12.7,52.360001,4.888801,fair
264,acer platanoides,18,12.7,52.358902,4.891366,fair
265,quercus robur,24,17.78,52.360867,4.88678,good
266,acer pseudoplatanus,18,12.7,52.360268,4.88835,excellent
267,fraxinus excelsior,24,17.78,52.359968,4.888403,good
268,ulmus minor,24,17.78,52.359758,4.888475,excellent
269,crataegus monogyna,18,12.7,52.359664,4.888555,fair
270,ulmus minor,18,12.7,52.359571,4.888646,good
271,quercus robur,15,10.16,52.359551,4.888674,excellent
272,betula pendula,18,12.7,52.360047,4.888697,fair
273,ulmus minor,18,12.7,52.360323,4.898303,excellent
274,betula pendula,24,17.78,52.360497,4.898201,fair
275,quercus robur,18,12.7,52.361479,4.885814,excellent
276,ulmus minor,15,10.16,52.359307,4.89818,fair
277,crataegus monogyna,15,10.16,52.359429,4.89012,good
278,quercus robur,24,17.78,52.362271,4.885789,good
279,tilia cordata,24,17.78,52.360078,4.888398,excellent
280,crataegus monogyna,24,17.78,52.359862,4.888426,fair
281,betula pendula,15,10.16,52.35949,4.890248,fair
282,ulmus minor,6,2.54,52.360591,4.891077,good
283,acer platanoides,9,7.62,52.361789,4.886267,good
284,ulmus minor,9,7.62,52.361633,4.886588,excellent
285,fagus sylvatica,9,7.62,52.361712,4.886428,fair
286,fagus sylvatica,9,7.62,52.36194,4.885957,good
287,acer pseudoplatanus,9,5.08,52.362019,4.885796,excellent
288,ulmus minor,9,7.62,52.361865,4.886112,fair
289,ulmus minor,9,7.62,52.361553,4.886756,excellent
290,acer pseudoplatanus,9,7.62,52.362094,4.88564,fair
291,ulmus minor,24,20.32,52.359046,4.890043,fair
292,crataegus monogyna,6,2.54,52.35873,4.890204,excellent
293,quercus robur,9,7.62,52.359113,4.89778,fair
294,acer pseudoplatanus,9,7.62,52.358875,4.897882,good
295,ulmus minor,9,7.62,52.358694,4.897964,good
296,acer platanoides,6,2.54,52.361729,4.900492,fair
297,acer pseudoplatanus,9,5.08,52.361352,4.89029,good
298,acer pseudoplatanus,6,2.54,52.36118,4.89745,fair
299,alnus glutinosa,6,2.54,52.365949,4.896106,good
300,fraxinus excelsior,6,2.54,52.358801,4.891175,excellent
301,betula pendula,6,2.54,52.363035,4.899592,fair
302,acer pseudoplatanus,6,2.54,52.363005,4.89943,excellent
303,quercus robur,6,2.54,52.363024,4.899534,fair
304,alnus glutinosa,6,2.54,52.362984,4.899323,good
305,fraxinus excelsior,6,2.54,52.362974,4.89927,excellent
306,ulmus minor,15,10.16,52.359956,4.899707,excellent
307,betula pendula,9,7.62,52.362032,4.89734,good
308,fagus sylvatica,15,10.16,52.362505,4.897364,excellent
309,ulmus minor,9,7.62,52.362127,4.897421,fair
310,quercus robur,9,7.62,52.362054,4.89746,good
311,fraxinus excelsior,9,7.62,52.362526,4.897481,excellent
312,ulmus minor,9,7.62,52.362151,4.89756,fair
313,ulmus minor,9,7.62,52.362077,4.89759,good
314,fraxinus excelsior,9,7.62,52.362549,4.897604,excellent
315,fraxinus excelsior,9,7.62,52.36217,4.897669,fair
316,fagus sylvatica,9,7.62,52.362097,4.897702,good
317,tilia cordata,9,7.62,52.362192,4.8978,excellent
318,fraxinus excelsior,15,10.16,52.361593,4.885555,good
319,tilia cordata,15,10.16,52.362621,4.89757,good
320,fraxinus excelsior,15,10.16,52.362649,4.897716,excellent
321,ulmus minor,9,7.62,52.36212,4.897832,fair
322,tilia cordata,15,10.16,52.362488,4.89784,good
323,crataegus monogyna,9,7.62,52.36241,4.897877,excellent
324,ulmus minor,9,7.62,52.362327,4.897916,fair
325,acer platanoides,9,7.62,52.362143,4.897955,good
326,ulmus minor,15,10.16,52.362511,4.897957,excellent
327,ulmus minor,9,7.62,52.362219,4.897967,fair
328,fraxinus excelsior,9,7.62,52.361884,4.896506,good
329,tilia cordata,9,7.62,52.362673,4.897852,good
330,fagus sylvatica,15,10.16,52.362554,4.897215,excellent
331,betula pendula,15,10.16,52.362574,4.897325,fair
332,quercus robur,15,10.16,52.362583,4.897792,good
333,quercus robur,15,10.16,52.362591,4.897919,excellent
334,ulmus minor,15,10.16,52.362596,4.897442,fair
335,acer pseudoplatanus,9,7.62,52.361912,4.89667,good
336,acer pseudoplatanus,9,5.08,52.361943,4.896837,excellent
337,acer pseudoplatanus,9,7.62,52.361972,4.897004,fair
338,quercus robur,9,7.62,52.362,4.897167,good
339,ulmus minor,9,7.62,52.362093,4.896438,excellent
340,acer platanoides,9,7.62,52.362119,4.896597,fair
341,quercus robur,15,10.16,52.362148,4.896751,good
342,fagus sylvatica,15,10.16,52.362178,4.896901,excellent
343,quercus robur,9,7.62,52.3622,4.897219,fair
344,quercus robur,15,10.16,52.359897,4.900296,good
345,fraxinus excelsior,15,10.16,52.360038,4.900445,excellent
346,fraxinus excelsior,18,12.7,52.360042,4.900317,fair
347,betula pendula,18,12.7,52.36006,4.900204,good
348,ulmus minor,18,12.7,52.360162,4.900147,excellent
349,fagus sylvatica,9,7.62,52.362204,4.897054,fair
350,acer platanoides,9,7.62,52.362282,4.89718,good
351,crataegus monogyna,15,10.16,52.36238,4.897122,excellent
352,acer platanoides,15,10.16,52.362452,4.897087,fair
353,acer platanoides,15,10.16,52.362486,4.897253,good
354,acer pseudoplatanus,15,10.16,52.362524,4.897057,excellent
355,ulmus minor,15,10.16,52.36058,4.887764,fair
356,alnus glutinosa,15,10.16,52.360623,4.887672,good
357,acer pseudoplatanus,15,10.16,52.360198,4.900073,excellent
358,quercus robur,18,12.7,52.360213,4.899976,fair
359,betula pendula,15,10.16,52.360298,4.899827,good
360,fagus sylvatica,18,12.7,52.360217,4.899861,excellent
361,quercus robur,15,10.16,52.360114,4.899514,fair
362,acer pseudoplatanus,15,10.16,52.360188,4.899584,good
363,acer platanoides,18,12.7,52.3609,4.886887,excellent
364,acer platanoides,15,10.16,52.360791,4.887297,fair
365,tilia cordata,15,10.16,52.36085,4.887175,good
366,tilia cordata,15,10.16,52.360677,4.898194,excellent
367,fagus sylvatica,15,10.16,52.360221,4.899704,fair
368,acer platanoides,15,10.16,52.360027,4.899524,good
369,acer platanoides,15,10.16,52.359981,4.899463,excellent
370,acer pseudoplatanus,15,10.16,52.359939,4.899408,fair
371,fraxinus excelsior,15,10.16,52.359898,4.899327,good
372,eucalyptus globulus,15,10.16,52.359836,4.899382,excellent
373,ulmus minor,15,10.16,52.359875,4.899452,fair
374,ulmus minor,15,10.16,52.359905,4.899527,good
375,ulmus minor,15,10.16,52.359909,4.899885,excellent
376,fraxinus excelsior,15,10.16,52.35994,4.900096,fair
377,ulmus minor,15,10.16,52.359978,4.900168,good
378,alnus glutinosa,15,10.16,52.359968,4.900257,excellent
379,quercus robur,15,10.16,52.359949,4.900347,fair
380,crataegus monogyna,9,7.62,52.362433,4.897994,fair
381,quercus robur,9,7.62,52.362347,4.898039,good
382,fraxinus excelsior,9,7.62,52.362267,4.898074,excellent
383,fraxinus excelsior,9,7.62,52.362167,4.898091,fair
384,ulmus minor,6,2.54,52.360291,4.89903,good
385,fraxinus excelsior,9,7.62,52.360848,4.899307,fair
386,ulmus minor,15,10.16,52.363018,4.885539,excellent
387,eucalyptus globulus,9,7.62,52.360782,4.899073,fair
388,alnus glutinosa,18,12.7,52.360141,4.898804,fair
389,alnus glutinosa,18,12.7,52.360181,4.898609,good
390,fraxinus excelsior,9,5.08,52.360693,4.898375,excellent
391,acer platanoides,15,10.16,52.358815,4.894934,fair
392,ulmus minor,15,10.16,52.358799,4.895219,excellent
393,tilia cordata,15,10.16,52.358781,4.895541,fair
394,alnus glutinosa,15,10.16,52.358763,4.895849,good
395,ulmus minor,15,10.16,52.358832,4.894686,fair
396,acer pseudoplatanus,15,10.16,52.358863,4.894142,excellent
397,fraxinus excelsior,15,10.16,52.35888,4.893859,fair
398,alnus glutinosa,15,10.16,52.358894,4.893571,good
399,quercus robur,9,7.62,52.358905,4.893371,excellent
400,acer pseudoplatanus,15,10.16,52.358922,4.893079,fair
401,quercus robur,15,10.16,52.358849,4.894407,good
402,betula pendula,6,2.54,52.361331,4.900818,fair
403,eucalyptus globulus,6,2.54,52.361342,4.900875,good
404,acer platanoides,6,2.54,52.363074,4.899796,good
405,acer pseudoplatanus,6,2.54,52.363085,4.899855,excellent
406,fraxinus excelsior,6,2.54,52.361446,4.898869,good
407,ulmus minor,6,2.54,52.361452,4.898908,fair
408,quercus robur,6,2.54,52.361525,4.899417,good
409,alnus glutinosa,9,7.62,52.359491,4.888629,good
410,ulmus minor,15,10.16,52.358867,4.889542,excellent
411,alnus glutinosa,15,10.16,52.359833,4.888281,good
412,acer platanoides,15,10.16,52.359989,4.888111,excellent
413,crataegus monogyna,15,10.16,52.360193,4.888087,fair
414,ulmus minor,6,2.54,52.360668,4.900655,fair
415,quercus robur,24,17.78,52.35961,4.887273,fair
416,ulmus minor,9,5.08,52.361333,4.895878,excellent
417,juniperus communis,9,5.08,52.365919,4.894634,excellent
418,quercus robur,9,5.08,52.365903,4.894747,fair
419,ulmus minor,9,5.08,52.365949,4.894403,good
420,alnus glutinosa,9,5.08,52.365933,4.894517,excellent
421,quercus robur,6,2.54,52.359453,4.899817,fair
422,ulmus minor,15,10.16,52.36034,4.896489,good
423,alnus glutinosa,9,5.08,52.360618,4.897916,excellent
424,fraxinus excelsior,9,5.08,52.360554,4.897949,fair
425,quercus robur,15,10.16,52.360722,4.900637,good
426,acer pseudoplatanus,9,7.62,52.360681,4.900531,excellent
427,quercus robur,9,7.62,52.36063,4.898418,fair
428,fraxinus excelsior,18,12.7,52.359517,4.887106,good
429,quercus robur,15,10.16,52.359536,4.887135,excellent
430,alnus glutinosa,18,12.7,52.359431,4.887059,fair
431,ulmus minor,18,12.7,52.359486,4.887074,fair
432,crataegus monogyna,18,12.7,52.35954,4.887066,good
433,quercus robur,18,12.7,52.359518,4.88719,excellent
434,fagus sylvatica,18,12.7,52.359491,4.887146,fair
435,quercus robur,18,12.7,52.359468,4.88712,good
436,quercus robur,9,7.62,52.358631,4.890453,fair
437,ulmus minor,9,7.62,52.358605,4.890438,good
438,ulmus minor,9,7.62,52.358651,4.890404,excellent
439,acer pseudoplatanus,15,10.16,52.360589,4.899304,good
440,fraxinus excelsior,15,10.16,52.360044,4.898813,fair
441,ulmus minor,6,2.54,52.362712,4.893954,fair
442,alnus glutinosa,6,2.54,52.362678,4.894238,good
443,crataegus monogyna,6,2.54,52.362745,4.893738,excellent
444,acer pseudoplatanus,6,2.54,52.362669,4.894289,fair
445,quercus robur,9,5.08,52.358823,4.886029,fair
446,quercus robur,9,5.08,52.35876,4.886012,good
447,quercus robur,9,5.08,52.358793,4.88573,excellent
448,fagus sylvatica,9,5.08,52.358772,4.885902,fair
449,ulmus minor,9,5.08,52.358817,4.88559,good
450,fraxinus excelsior,9,5.08,52.35889,4.885504,fair
451,alnus glutinosa,9,5.08,52.358876,4.885612,good
452,fraxinus excelsior,9,5.08,52.358856,4.885751,excellent
453,acer pseudoplatanus,9,5.08,52.358834,4.885916,fair
454,ulmus minor,15,10.16,52.363952,4.892714,fair
455,crataegus monogyna,15,10.16,52.363502,4.893887,good
456,betula pendula,9,5.08,52.36377,4.894104,excellent
457,acer pseudoplatanus,9,7.62,52.363654,4.892769,fair
458,acer pseudoplatanus,18,12.7,52.359389,4.890889,good
459,quercus robur,15,10.16,52.359151,4.89211,excellent
460,crataegus monogyna,9,7.62,52.359068,4.892361,fair
461,quercus robur,9,7.62,52.363606,4.893141,good
462,fraxinus excelsior,6,2.54,52.361028,4.89535,good
463,ulmus minor,9,5.08,52.360967,4.895811,excellent
464,fraxinus excelsior,9,5.08,52.361069,4.895028,fair
465,ulmus minor,9,5.08,52.362864,4.892872,excellent
466,fagus sylvatica,9,5.08,52.362812,4.893245,fair
467,quercus robur,9,5.08,52.362841,4.893041,good
468,acer platanoides,6,2.54,52.36114,4.894541,fair
469,tilia cordata,9,5.08,52.362416,4.895769,good
470,crataegus monogyna,9,7.62,52.359116,4.892235,excellent
471,quercus robur,9,5.08,52.359031,4.892465,fair
472,ulmus minor,6,2.54,52.361158,4.894402,good
473,ulmus minor,9,5.08,52.361291,4.893186,excellent
474,ulmus minor,9,5.08,52.361256,4.893443,fair
475,fagus sylvatica,9,5.08,52.361478,4.892033,good
476,acer pseudoplatanus,9,5.08,52.361504,4.891857,excellent
477,crataegus monogyna,15,10.16,52.363399,4.89698,fair
478,fraxinus excelsior,15,10.16,52.363629,4.892956,fair
479,ulmus minor,24,17.78,52.360342,4.898872,excellent
480,acer platanoides,15,10.16,52.366124,4.885821,good
481,quercus robur,18,12.7,52.359046,4.891617,excellent
